<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
1971.01.01	0.53690	0.53880	0.53650	0.53870	20	0	50
1971.02.01	0.53860	0.53890	0.53790	0.53790	18	0	50
1971.03.01	0.53830	0.53900	0.53820	0.53870	23	0	50
1971.04.01	0.53880	0.53890	0.53670	0.53840	22	0	50
1971.05.01	0.53850	0.55860	0.53850	0.55140	20	0	50
1971.06.01	0.54780	0.55980	0.54780	0.55920	22	0	50
1971.07.01	0.55920	0.56510	0.55860	0.56510	21	0	50
1971.08.01	0.56490	0.57750	0.56490	0.57550	17	0	50
1971.09.01	0.57580	0.59070	0.57580	0.58960	21	0	50
1971.10.01	0.58890	0.59010	0.58580	0.58580	19	0	50
1971.11.01	0.58650	0.59120	0.58410	0.59040	20	0	50
1971.12.01	0.59210	0.60160	0.59210	0.59810	22	0	50
1972.01.01	0.59770	0.60980	0.59760	0.60920	21	0	50
1972.02.01	0.61070	0.61970	0.61070	0.61490	20	0	50
1972.03.01	0.61490	0.61960	0.59650	0.61740	23	0	50
1972.04.01	0.61750	0.61750	0.61200	0.61500	20	0	50
1972.05.01	0.61510	0.61630	0.61390	0.61570	72	0	50
1972.06.01	0.61550	0.62210	0.61280	0.62060	1652	0	50
1972.07.01	0.62080	0.62130	0.61550	0.61590	840	0	50
1972.08.01	0.61560	0.61570	0.61140	0.61320	773	0	50
1972.09.01	0.61290	0.61440	0.61040	0.61040	350	0	50
1972.10.01	0.60860	0.61170	0.60830	0.61010	1240	0	50
1972.11.01	0.61070	0.61290	0.60920	0.61290	420	0	50
1972.12.01	0.61330	0.61340	0.61020	0.61080	230	0	50
1973.01.01	0.61000	0.62030	0.60850	0.62000	752	0	50
1973.02.01	0.62070	0.69020	0.61890	0.68810	3698	0	50
1973.03.01	0.69870	0.71180	0.68820	0.68840	6512	0	50
1973.04.01	0.68480	0.69310	0.68400	0.68920	2101	0	50
1973.05.01	0.68910	0.72520	0.68550	0.72480	4152	0	50
1973.06.01	0.73100	0.80490	0.72990	0.80390	7551	0	50
1973.07.01	0.81460	0.86450	0.81260	0.84180	13871	0	50
1973.08.01	0.83510	0.83660	0.78810	0.79440	4543	0	50
1973.09.01	0.79780	0.81890	0.79660	0.81010	2679	0	50
1973.10.01	0.81080	0.81930	0.79870	0.79970	3981	0	50
1973.11.01	0.79770	0.79960	0.73340	0.74550	4770	0	50
1973.12.01	0.74460	0.74460	0.72280	0.72300	1440	0	50
1974.01.01	0.70810	0.71070	0.67740	0.70810	11732	0	50
1974.02.01	0.70640	0.73630	0.70640	0.73070	3208	0	50
1974.03.01	0.72900	0.78170	0.72900	0.77280	4881	0	50
1974.04.01	0.76830	0.79890	0.75750	0.79560	3992	0	50
1974.05.01	0.79600	0.81640	0.76570	0.77470	6712	0	50
1974.06.01	0.77780	0.78960	0.75690	0.76750	3650	0	50
1974.07.01	0.76320	0.77980	0.75580	0.75940	3162	0	50
1974.08.01	0.75950	0.76160	0.73420	0.73500	3252	0	50
1974.09.01	0.73590	0.73950	0.73110	0.73740	3660	0	50
1974.10.01	0.73900	0.76500	0.73880	0.75860	3072	0	50
1974.11.01	0.76200	0.80210	0.76190	0.79030	4659	0	50
1974.12.01	0.78310	0.81620	0.78210	0.81110	3121	0	50
1975.01.01	0.81020	0.84980	0.80910	0.83610	6682	0	50
1975.02.01	0.82990	0.85860	0.82160	0.85830	3659	0	50
1975.03.01	0.85900	0.85900	0.83080	0.83390	3761	0	50
1975.04.01	0.83690	0.83690	0.81530	0.82220	3432	0	50
1975.05.01	0.82220	0.84290	0.82070	0.83520	5221	0	50
1975.06.01	0.83640	0.83980	0.82880	0.82960	3411	0	50
1975.07.01	0.82640	0.82710	0.76130	0.76160	5672	0	50
1975.08.01	0.76170	0.76640	0.75440	0.75730	4171	0	50
1975.09.01	0.75760	0.75980	0.73210	0.73830	2741	0	50
1975.10.01	0.74940	0.76540	0.74300	0.76460	4652	0	50
1975.11.01	0.76550	0.76550	0.74490	0.74530	2668	0	50
1975.12.01	0.74780	0.75020	0.74110	0.74650	1172	0	50
1976.01.01	0.74680	0.75590	0.74660	0.75570	1451	0	50
1976.02.01	0.76150	0.77200	0.75900	0.76140	888	0	50
1976.03.01	0.75810	0.77330	0.75790	0.76990	2073	0	50
1976.04.01	0.77400	0.77420	0.76790	0.77120	1032	0	50
1976.05.01	0.77170	0.77230	0.75410	0.75440	1040	0	50
1976.06.01	0.75360	0.76190	0.75320	0.75940	1212	0	50
1976.07.01	0.75890	0.76930	0.75740	0.76920	1141	0	50
1976.08.01	0.77130	0.78020	0.76800	0.77350	1152	0	50
1976.09.01	0.77590	0.80350	0.77510	0.80350	1221	0	50
1976.10.01	0.79920	0.81630	0.79510	0.81500	1090	0	50
1976.11.01	0.81100	0.81490	0.80710	0.81340	790	0	50
1976.12.01	0.80990	0.83040	0.80990	0.82870	953	0	50
1977.01.01	0.83440	0.83570	0.80440	0.81230	1601	0	50
1977.02.01	0.80930	0.81910	0.80730	0.81900	1209	0	50
1977.03.01	0.81760	0.82010	0.81520	0.81810	473	0	50
1977.04.01	0.81750	0.83090	0.81750	0.83030	751	0	50
1977.05.01	0.83040	0.83390	0.82420	0.82890	1161	0	50
1977.06.01	0.82960	0.83630	0.82800	0.83560	802	0	50
1977.07.01	0.83550	0.87080	0.83550	0.85420	2059	0	50
1977.08.01	0.85070	0.85360	0.83590	0.84390	1413	0	50
1977.09.01	0.84380	0.84690	0.83900	0.84360	2101	0	50
1977.10.01	0.85370	0.86910	0.84950	0.86910	1160	0	50
1977.11.01	0.87310	0.88340	0.86480	0.87960	2799	0	50
1977.12.01	0.88390	0.93280	0.88370	0.93240	2711	0	50
1978.01.01	0.93570	0.94780	0.90800	0.92600	3171	0	50
1978.02.01	0.92460	0.97040	0.92440	0.97040	5270	0	50
1978.03.01	0.96830	0.97900	0.94910	0.97880	3053	0	50
1978.04.01	0.97420	0.97460	0.93900	0.94310	5270	0	50
1978.05.01	0.94450	0.94540	0.91650	0.93250	3133	0	50
1978.06.01	0.93550	0.94410	0.93350	0.94390	1332	0	50
1978.07.01	0.94690	0.95990	0.94470	0.95970	1741	0	50
1978.08.01	0.95830	1.00530	0.95750	0.98340	2783	0	50
1978.09.01	0.98870	1.01100	0.97510	1.00830	2471	0	50
1978.10.01	1.01100	1.13470	1.00910	1.11490	4962	0	50
1978.11.01	1.05170	1.05230	1.00210	1.01410	5982	0	50
1978.12.01	1.01130	1.07450	1.01130	1.07440	4090	0	50
1979.01.01	1.07470	1.07590	1.04320	1.04360	2142	0	50
1979.02.01	1.03870	1.06380	1.03680	1.05580	1830	0	50
1979.03.01	1.05440	1.05670	1.04700	1.04700	672	0	50
1979.04.01	1.03820	1.03940	1.02630	1.03010	1081	0	50
1979.05.01	1.03180	1.03260	1.01830	1.02450	1973	0	50
1979.06.01	1.01980	1.06490	1.01980	1.06460	2181	0	50
1979.07.01	1.06170	1.08360	1.06170	1.06680	2682	0	50
1979.08.01	1.06920	1.07330	1.06670	1.07190	923	0	50
1979.09.01	1.07280	1.12720	1.07250	1.12310	4560	0	50
1979.10.01	1.12540	1.12590	1.07920	1.08460	6543	0	50
1979.11.01	1.08810	1.13230	1.08640	1.13110	3361	0	50
1979.12.01	1.14460	1.14500	1.11500	1.13380	6470	0	50
1980.01.01	1.14370	1.14570	1.12140	1.12210	5922	0	50
1980.02.01	1.12140	1.12850	1.10070	1.10080	2000	0	50
1980.03.01	1.09670	1.09670	0.99950	1.00100	2821	0	50
1980.04.01	0.99430	1.08970	0.98950	1.08630	8852	0	50
1980.05.01	1.08520	1.10980	1.07230	1.10060	2201	0	50
1980.06.01	1.09670	1.11590	1.09650	1.10880	5291	0	50
1980.07.01	1.11130	1.12790	1.09440	1.09610	7002	0	50
1980.08.01	1.09160	1.10580	1.08170	1.09210	9151	0	50
1980.09.01	1.09940	1.10150	1.07830	1.07870	4761	0	50
1980.10.01	1.08170	1.08710	1.02500	1.02560	6213	0	50
1980.11.01	1.02260	1.03550	0.99870	1.01520	8177	0	50
1980.12.01	1.00790	1.00870	0.96730	0.99060	9492	0	50
1981.01.01	0.99050	1.01070	0.91740	0.91740	12581	0	50
1981.02.01	0.92060	0.94030	0.87990	0.91790	17219	0	50
1981.03.01	0.90680	0.95740	0.90490	0.92680	16542	0	50
1981.04.01	0.93300	0.93360	0.88360	0.88430	10112	0	50
1981.05.01	0.88730	0.88790	0.83350	0.83910	5770	0	50
1981.06.01	0.83470	0.83780	0.80850	0.81680	10102	0	50
1981.07.01	0.81110	0.81450	0.78860	0.79020	9983	0	50
1981.08.01	0.77280	0.80040	0.75980	0.79690	8041	0	50
1981.09.01	0.79710	0.87680	0.79650	0.84140	14511	0	50
1981.10.01	0.84240	0.89580	0.84200	0.87460	11982	0	50
1981.11.01	0.87770	0.88800	0.86570	0.88550	6861	0	50
1981.12.01	0.87920	0.88250	0.85340	0.87390	7672	0	50
1982.01.01	0.87360	0.87480	0.83670	0.84320	7750	0	50
1982.02.01	0.83200	0.83520	0.81520	0.81810	4759	0	50
1982.03.01	0.81880	0.83470	0.80880	0.80990	6653	0	50
1982.04.01	0.81410	0.83910	0.80640	0.83880	2652	0	50
1982.05.01	0.83630	0.85730	0.83280	0.83310	10290	0	50
1982.06.01	0.82280	0.82830	0.78430	0.79400	7582	0	50
1982.07.01	0.79410	0.82000	0.77780	0.79390	9581	0	50
1982.08.01	0.80220	0.80860	0.77500	0.78420	12532	0	50
1982.09.01	0.78650	0.79300	0.76890	0.77290	6792	0	50
1982.10.01	0.77490	0.78590	0.76350	0.76360	6671	0	50
1982.11.01	0.76700	0.79430	0.75340	0.79360	5292	0	50
1982.12.01	0.79290	0.82560	0.78910	0.82330	7203	0	50
1983.01.01	0.82490	0.83890	0.78970	0.79210	10881	0	50
1983.02.01	0.79200	0.81920	0.78420	0.80210	10500	0	50
1983.03.01	0.80050	0.82430	0.80050	0.80500	7613	0	50
1983.04.01	0.80570	0.81170	0.79280	0.79320	6741	0	50
1983.05.01	0.79440	0.80360	0.77080	0.77330	4391	0	50
1983.06.01	0.76670	0.77650	0.76030	0.76930	5592	0	50
1983.07.01	0.76960	0.76960	0.73830	0.73830	3960	0	50
1983.08.01	0.73050	0.74550	0.71530	0.72640	8743	0	50
1983.09.01	0.72510	0.74350	0.72490	0.74340	5222	0	50
1983.10.01	0.74600	0.76210	0.73980	0.74220	8120	0	50
1983.11.01	0.73740	0.73960	0.72000	0.72500	4390	0	50
1983.12.01	0.72400	0.72460	0.70440	0.71740	5091	0	50
1984.01.01	0.70970	0.71220	0.68870	0.69480	5281	0	50
1984.02.01	0.69950	0.75290	0.69770	0.75200	6820	0	50
1984.03.01	0.74990	0.77010	0.73650	0.75440	12622	0	50
1984.04.01	0.75380	0.75670	0.71860	0.71890	5221	0	50
1984.05.01	0.71690	0.72450	0.70310	0.71570	6703	0	50
1984.06.01	0.72670	0.73360	0.69650	0.70310	8201	0	50
1984.07.01	0.70000	0.70060	0.67290	0.67370	6862	0	50
1984.08.01	0.67050	0.68460	0.67020	0.67710	7453	0	50
1984.09.01	0.67320	0.67320	0.61740	0.64010	14830	0	50
1984.10.01	0.63770	0.65000	0.62230	0.64550	7973	0	50
1984.11.01	0.65180	0.66980	0.62900	0.62960	8632	0	50
1984.12.01	0.62930	0.63930	0.61980	0.61980	6800	0	50
1985.01.01	0.61630	0.62280	0.61250	0.61840	4882	0	50
1985.02.01	0.61520	0.61570	0.56330	0.58590	7470	0	50
1985.03.01	0.58310	0.63430	0.56980	0.63420	14781	0	50
1985.04.01	0.62910	0.65700	0.61120	0.63200	18882	0	50
1985.05.01	0.62480	0.64570	0.60230	0.63740	16312	0	50
1985.06.01	0.64270	0.65050	0.63040	0.64360	9030	0	50
1985.07.01	0.64370	0.70080	0.64040	0.69940	11883	0	50
1985.08.01	0.69590	0.71290	0.68490	0.69750	8572	0	50
1985.09.01	0.69200	0.73600	0.65970	0.73080	17041	0	50
1985.10.01	0.73500	0.74760	0.72860	0.74680	9673	0	50
1985.11.01	0.75070	0.77840	0.74410	0.77840	7391	0	50
1985.12.01	0.77770	0.79900	0.76580	0.79900	6731	0	50
1986.01.01	0.80130	0.82220	0.78940	0.81890	11312	0	50
1986.02.01	0.81560	0.88630	0.80900	0.87820	12380	0	50
1986.03.01	0.88050	0.88850	0.83170	0.83330	15041	0	50
1986.04.01	0.83580	0.90340	0.81370	0.90030	17662	0	50
1986.05.01	0.89200	0.90310	0.84120	0.84260	20871	0	50
1986.06.01	0.84080	0.89060	0.83910	0.88900	13241	0	50
1986.07.01	0.89700	0.93520	0.89290	0.93440	12903	0	50
1986.08.01	0.93800	0.96070	0.93320	0.95850	10891	0	50
1986.09.01	0.96310	0.98270	0.93490	0.96540	14051	0	50
1986.10.01	0.96640	0.99260	0.94510	0.94760	11442	0	50
1986.11.01	0.94740	0.99110	0.94420	0.99070	7658	0	50
1986.12.01	0.99620	1.01670	0.96540	1.01430	9962	0	50
1987.01.01	1.01970	1.10020	1.01240	1.06760	14521	0	50
1987.02.01	1.08010	1.09220	1.05240	1.07000	15319	0	50
1987.03.01	1.06850	1.08520	1.04510	1.08370	8642	0	50
1987.04.01	1.07420	1.10080	1.06320	1.08910	11292	0	50
1987.05.01	1.09530	1.10620	1.07200	1.07280	7230	0	50
1987.06.01	1.06590	1.09350	1.06250	1.07030	8832	0	50
1987.07.01	1.07030	1.07290	1.04830	1.05260	9003	0	50
1987.08.01	1.04980	1.08050	1.03050	1.08000	11841	0	50
1987.09.01	1.07890	1.09100	1.06150	1.06210	6131	0	50
1987.10.01	1.06000	1.13180	1.05910	1.13000	8422	0	50
1987.11.01	1.14010	1.19710	1.13590	1.19290	24540	0	50
1987.12.01	1.18520	1.24530	1.17000	1.24420	15532	0	50
1988.01.01	1.23540	1.23680	1.15910	1.16510	9150	0	50
1988.02.01	1.15550	1.16270	1.13970	1.15840	8991	0	50
1988.03.01	1.16000	1.18100	1.15260	1.18080	10283	0	50
1988.04.01	1.18070	1.18240	1.15480	1.16930	8511	0	50
1988.05.01	1.16600	1.16780	1.13090	1.13210	6181	0	50
1988.06.01	1.13410	1.14140	1.06900	1.07620	10642	0	50
1988.07.01	1.07380	1.07760	1.03550	1.04410	11170	0	50
1988.08.01	1.04250	1.05320	1.01860	1.04120	11783	0	50
1988.09.01	1.04270	1.06120	1.03540	1.04310	9241	0	50
1988.10.01	1.04990	1.10530	1.04790	1.09990	9561	0	50
1988.11.01	1.09450	1.14010	1.08990	1.12590	13461	0	50
1988.12.01	1.12930	1.13560	1.09040	1.10260	13181	0	50
1989.01.01	1.10930	1.11070	1.04110	1.04420	15731	0	50
1989.02.01	1.04790	1.07960	1.03760	1.07230	9880	0	50
1989.03.01	1.06400	1.06470	1.03080	1.03230	11873	0	50
1989.04.01	1.03790	1.05930	1.03560	1.04040	10230	0	50
1989.05.01	1.03640	1.04040	0.97190	0.98790	15032	0	50
1989.06.01	0.98660	1.00870	0.95930	1.00170	20932	0	50
1989.07.01	1.00810	1.05350	1.00620	1.04830	35221	0	50
1989.08.01	1.04860	1.06080	0.99270	0.99490	35633	0	50
1989.09.01	0.99510	1.04960	0.97640	1.04460	33081	0	50
1989.10.01	1.04260	1.07060	1.01780	1.06220	36792	0	50
1989.11.01	1.06260	1.10440	1.04190	1.09980	28372	0	50
1989.12.01	1.09910	1.16700	1.09250	1.15770	32720	0	50
1990.01.01	1.16240	1.17460	1.12770	1.15750	50872	0	50
1990.02.01	1.15810	1.18630	1.14580	1.14700	28740	0	50
1990.03.01	1.14660	1.16560	1.13470	1.15180	29092	0	50
1990.04.01	1.15140	1.17260	1.14600	1.16510	21890	0	50
1990.05.01	1.16500	1.20250	1.15120	1.15340	30032	0	50
1990.06.01	1.15330	1.17910	1.14760	1.17790	25831	0	50
1990.07.01	1.17890	1.23370	1.17650	1.23210	30022	0	50
1990.08.01	1.23150	1.26950	1.20580	1.24070	49243	0	50
1990.09.01	1.24000	1.26620	1.22520	1.24910	37170	0	50
1990.10.01	1.25190	1.31140	1.25190	1.28850	41973	0	50
1990.11.01	1.28840	1.33390	1.28080	1.30740	36702	0	50
1990.12.01	1.30960	1.33690	1.26410	1.31140	39020	0	50
1991.01.01	1.31010	1.32610	1.24860	1.32380	54682	0	50
1991.02.01	1.32390	1.35500	1.27940	1.28290	36760	0	50
1991.03.01	1.28220	1.28330	1.13600	1.14770	52030	0	50
1991.04.01	1.15130	1.18170	1.09720	1.14610	56802	0	50
1991.05.01	1.14590	1.16210	1.11100	1.12250	48223	0	50
1991.06.01	1.12230	1.12560	1.07320	1.07960	34520	0	50
1991.07.01	1.08120	1.12990	1.06120	1.12230	38713	0	50
1991.08.01	1.12240	1.15080	1.06630	1.11820	49472	0	50
1991.09.01	1.11990	1.17960	1.11860	1.17090	33051	0	50
1991.10.01	1.17100	1.17930	1.13560	1.17240	33733	0	50
1991.11.01	1.17200	1.23900	1.17010	1.20340	39931	0	50
1991.12.01	1.21000	1.30150	1.20900	1.28700	36260	0	50
1992.01.01	1.28410	1.30060	1.19660	1.21260	65632	0	50
1992.02.01	1.21610	1.25640	1.17400	1.18940	44290	0	50
1992.03.01	1.18950	1.19860	1.16150	1.19030	36502	0	50
1992.04.01	1.19000	1.21200	1.16630	1.18720	34662	0	50
1992.05.01	1.18720	1.23190	1.18160	1.21660	35911	0	50
1992.06.01	1.21720	1.29180	1.20670	1.28360	39442	0	50
1992.07.01	1.28370	1.35090	1.27750	1.32470	61013	0	50
1992.08.01	1.32630	1.40130	1.31470	1.39530	43061	0	50
1992.09.01	1.39600	1.41020	1.27830	1.38650	84182	0	50
1992.10.01	1.38630	1.40720	1.26050	1.26800	73632	0	50
1992.11.01	1.26860	1.26980	1.20990	1.23160	50861	0	50
1992.12.01	1.23100	1.26600	1.20450	1.20690	40053	0	50
1993.01.01	1.20280	1.24790	1.18580	1.21250	36640	0	50
1993.02.01	1.21300	1.21550	1.17370	1.18220	43630	0	50
1993.03.01	1.18260	1.21800	1.16900	1.21620	37383	0	50
1993.04.01	1.21610	1.24940	1.20740	1.23430	43642	0	50
1993.05.01	1.23340	1.24660	1.19070	1.23020	32941	0	50
1993.06.01	1.23210	1.23750	1.13860	1.14500	39902	0	50
1993.07.01	1.14530	1.16220	1.12030	1.12270	33282	0	50
1993.08.01	1.12240	1.17750	1.11920	1.16580	36162	0	50
1993.09.01	1.16540	1.23150	1.16490	1.19670	48882	0	50
1993.10.01	1.19680	1.22940	1.15690	1.15940	35771	0	50
1993.11.01	1.15970	1.16340	1.13760	1.14080	30972	0	50
1993.12.01	1.14020	1.15670	1.12390	1.12520	23693	0	50
1994.01.01	1.12480	1.13680	1.11350	1.12900	22831	0	50
1994.02.01	1.12870	1.15070	1.10690	1.14730	29540	0	50
1994.03.01	1.14710	1.17830	1.13380	1.16790	32883	0	50
1994.04.01	1.16770	1.18940	1.13550	1.18250	27371	0	50
1994.05.01	1.18210	1.19810	1.16340	1.18810	31792	0	50
1994.06.01	1.18790	1.24360	1.16750	1.23250	33272	0	50
1994.07.01	1.23240	1.28940	1.21840	1.24360	44731	0	50
1994.08.01	1.24450	1.28130	1.22780	1.23690	39143	0	50
1994.09.01	1.23670	1.27690	1.23540	1.26120	34002	0	50
1994.10.01	1.26080	1.31610	1.25310	1.30170	32741	0	50
1994.11.01	1.30150	1.31170	1.24340	1.24680	30562	0	50
1994.12.01	1.24670	1.26920	1.23510	1.26220	24292	0	50
1995.01.01	1.26260	1.30280	1.24960	1.28340	34282	0	50
1995.02.01	1.28250	1.34600	1.27180	1.34010	31620	0	50
1995.03.01	1.33970	1.45350	1.33190	1.42890	86453	0	50
1995.04.01	1.42890	1.45200	1.37880	1.40860	67020	0	50
1995.05.01	1.40870	1.43580	1.33800	1.38140	63233	0	50
1995.06.01	1.38220	1.42040	1.36090	1.41520	54472	0	50
1995.07.01	1.41500	1.42490	1.38360	1.41020	35441	0	50
1995.08.01	1.41030	1.42470	1.30720	1.33250	53263	0	50
1995.09.01	1.33280	1.38860	1.30000	1.36960	50841	0	50
1995.10.01	1.36870	1.41600	1.35480	1.38750	48032	0	50
1995.11.01	1.38760	1.39930	1.34850	1.35290	39582	0	50
1995.12.01	1.35260	1.37030	1.34520	1.36030	34161	0	50
